80507	62.50	PI	TERESINA                                         	ADMINISTRACAO                
386649	62.50	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
226760	62.50	PR	LONDRINA                                         	ADMINISTRACAO                
109120	62.50	DF	BRASILIA                                         	ADMINISTRACAO                
428336	62.30	DF	BRASILIA                                         	ADMINISTRACAO                
112212	62.30	DF	BRASILIA                                         	ADMINISTRACAO                
433866	62.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
348112	62.00	PR	LONDRINA                                         	ADMINISTRACAO                
116081	62.00	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
173481	62.00	MG	VICOSA                                           	ADMINISTRACAO                
165788	61.80	AM	MANAUS                                           	ADMINISTRACAO                
275900	61.80	PR	LONDRINA                                         	ADMINISTRACAO                
73527	61.00	AM	MANAUS                                           	ADMINISTRACAO                
256727	61.80	PR	LONDRINA                                         	ADMINISTRACAO                
212488	61.00	MG	VICOSA                                           	ADMINISTRACAO                
435515	61.80	PR	CURITIBA                                         	ADMINISTRACAO                
215769	61.80	MG	VICOSA                                           	ADMINISTRACAO                
164535	61.50	DF	BRASILIA                                         	ADMINISTRACAO                
58175	61.50	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
191157	61.30	PR	LONDRINA                                         	ADMINISTRACAO                
4194	61.00	MG	VICOSA                                           	ADMINISTRACAO                
403081	61.50	AM	MANAUS                                           	ADMINISTRACAO                
329987	61.30	PI	TERESINA                                         	ADMINISTRACAO                
140465	61.30	PR	LONDRINA                                         	ADMINISTRACAO                
259302	61.80	MG	VICOSA                                           	ADMINISTRACAO                
447781	61.30	MG	VICOSA                                           	ADMINISTRACAO                
376528	61.80	PR	LONDRINA                                         	ADMINISTRACAO                
266889	61.30	DF	BRASILIA                                         	ADMINISTRACAO                
228957	61.80	PR	LONDRINA                                         	ADMINISTRACAO                
417510	61.50	MG	VICOSA                                           	ADMINISTRACAO                
189407	61.00	MG	VICOSA                                           	ADMINISTRACAO                
256471	61.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
200258	61.30	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
45171	61.30	PI	TERESINA                                         	ADMINISTRACAO                
86358	61.30	DF	BRASILIA                                         	ADMINISTRACAO                
142597	61.00	AM	MANAUS                                           	ADMINISTRACAO                
52017	61.00	PR	LONDRINA                                         	ADMINISTRACAO                
295148	60.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
94490	60.80	PR	LONDRINA                                         	ADMINISTRACAO                
5885	60.80	PR	CURITIBA                                         	ADMINISTRACAO                
122455	60.80	AM	MANAUS                                           	ADMINISTRACAO                
228222	60.80	DF	BRASILIA                                         	ADMINISTRACAO                
252985	60.50	MG	VICOSA                                           	ADMINISTRACAO                
59605	60.50	PR	LONDRINA                                         	ADMINISTRACAO                
469266	60.50	DF	BRASILIA                                         	ADMINISTRACAO                
374759	60.50	MG	VICOSA                                           	ADMINISTRACAO                
230931	60.50	DF	BRASILIA                                         	ADMINISTRACAO                
315733	60.30	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
265237	60.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
103618	60.30	MG	VICOSA                                           	ADMINISTRACAO                
21433	60.30	DF	BRASILIA                                         	ADMINISTRACAO                
183839	60.30	AM	MANAUS                                           	ADMINISTRACAO                
12753	60.30	AM	MANAUS                                           	ADMINISTRACAO                
107705	60.30	MG	VICOSA                                           	ADMINISTRACAO                
319299	60.00	MT	CUIABA                                           	ADMINISTRACAO                
106751	60.00	MG	VICOSA                                           	ADMINISTRACAO                
441443	60.00	DF	BRASILIA                                         	ADMINISTRACAO                
3861	60.00	DF	BRASILIA                                         	ADMINISTRACAO                
96889	60.00	MG	VICOSA                                           	ADMINISTRACAO                
453786	60.00	MG	VICOSA                                           	ADMINISTRACAO                
226563	60.00	PI	TERESINA                                         	ADMINISTRACAO                
63641	59.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
162535	59.80	DF	BRASILIA                                         	ADMINISTRACAO                
417697	59.80	PR	CURITIBA                                         	ADMINISTRACAO                
44810	59.80	MG	VICOSA                                           	ADMINISTRACAO                
82456	59.80	PR	LONDRINA                                         	ADMINISTRACAO                
198972	59.80	PR	LONDRINA                                         	ADMINISTRACAO                
173538	59.80	DF	BRASILIA                                         	ADMINISTRACAO                
130949	59.50	AM	MANAUS                                           	ADMINISTRACAO                
452191	59.50	DF	BRASILIA                                         	ADMINISTRACAO                
108933	59.50	MG	VICOSA                                           	ADMINISTRACAO                
